Model#,#EM,Model,LANGKAP,PASIR,RUMPUT,VEGETASI BASAH,VEGETASI LAIN,LANGKAP_lib#,PASIR_lib#,RUMPUT_lib#,VEGETASI BASAH_lib#,VEGETASI LAIN_lib#,#pixels,%pixels
1,2,LANGKAP-PASIR,lkp_16_X967_Y911,pasir_05_X778_Y210,,,,0,12,,,,777,    0.106382
2,2,LANGKAP-PASIR,lkp_16_X967_Y911,pasir_03_X784_Y203,,,,0,13,,,,2823,    0.386507
3,2,LANGKAP-PASIR,lkp_16_X967_Y911,pasir_06_X782_Y206,,,,0,14,,,,280,    0.038336
4,2,LANGKAP-PASIR,lkp_10_X988_Y898,pasir_05_X778_Y210,,,,1,12,,,,132,    0.018073
5,2,LANGKAP-PASIR,lkp_10_X988_Y898,pasir_03_X784_Y203,,,,1,13,,,,103,    0.014102
6,2,LANGKAP-PASIR,lkp_10_X988_Y898,pasir_06_X782_Y206,,,,1,14,,,,19,    0.002601
7,2,LANGKAP-PASIR,lkp_21_X947_Y915,pasir_05_X778_Y210,,,,2,12,,,,418,    0.057230
8,2,LANGKAP-PASIR,lkp_21_X947_Y915,pasir_03_X784_Y203,,,,2,13,,,,311,    0.042580
9,2,LANGKAP-PASIR,lkp_21_X947_Y915,pasir_06_X782_Y206,,,,2,14,,,,111,    0.015197
10,2,LANGKAP-PASIR,lkp_07_X1006_Y894,pasir_05_X778_Y210,,,,3,12,,,,34,    0.004655
11,2,LANGKAP-PASIR,lkp_07_X1006_Y894,pasir_03_X784_Y203,,,,3,13,,,,81,    0.011090
12,2,LANGKAP-PASIR,lkp_07_X1006_Y894,pasir_06_X782_Y206,,,,3,14,,,,10,    0.001369
13,2,LANGKAP-PASIR,lkp_11_X983_Y900,pasir_05_X778_Y210,,,,4,12,,,,286,    0.039157
14,2,LANGKAP-PASIR,lkp_11_X983_Y900,pasir_03_X784_Y203,,,,4,13,,,,73,    0.009995
15,2,LANGKAP-PASIR,lkp_11_X983_Y900,pasir_06_X782_Y206,,,,4,14,,,,39,    0.005340
16,2,LANGKAP-PASIR,lkp_08_X1003_Y894,pasir_05_X778_Y210,,,,5,12,,,,234,    0.032038
17,2,LANGKAP-PASIR,lkp_08_X1003_Y894,pasir_03_X784_Y203,,,,5,13,,,,487,    0.066677
18,2,LANGKAP-PASIR,lkp_08_X1003_Y894,pasir_06_X782_Y206,,,,5,14,,,,113,    0.015471
19,2,LANGKAP-PASIR,lkp_20_X948_Y906,pasir_05_X778_Y210,,,,6,12,,,,603,    0.082559
20,2,LANGKAP-PASIR,lkp_20_X948_Y906,pasir_03_X784_Y203,,,,6,13,,,,4095,    0.560661
21,2,LANGKAP-PASIR,lkp_20_X948_Y906,pasir_06_X782_Y206,,,,6,14,,,,803,    0.109942
22,2,LANGKAP-PASIR,lkp_14_X974_Y904,pasir_05_X778_Y210,,,,7,12,,,,386,    0.052849
23,2,LANGKAP-PASIR,lkp_14_X974_Y904,pasir_03_X784_Y203,,,,7,13,,,,27,    0.003697
24,2,LANGKAP-PASIR,lkp_14_X974_Y904,pasir_06_X782_Y206,,,,7,14,,,,94,    0.012870
25,2,LANGKAP-PASIR,lkp_02_X1097_Y909,pasir_05_X778_Y210,,,,8,12,,,,209,    0.028615
26,2,LANGKAP-PASIR,lkp_02_X1097_Y909,pasir_03_X784_Y203,,,,8,13,,,,33,    0.004518
27,2,LANGKAP-PASIR,lkp_02_X1097_Y909,pasir_06_X782_Y206,,,,8,14,,,,8,    0.001095
28,2,LANGKAP-PASIR,lkp_12_X980_Y900,pasir_05_X778_Y210,,,,9,12,,,,9,    0.001232
29,2,LANGKAP-PASIR,lkp_12_X980_Y900,pasir_03_X784_Y203,,,,9,13,,,,9,    0.001232
30,2,LANGKAP-PASIR,lkp_12_X980_Y900,pasir_06_X782_Y206,,,,9,14,,,,10,    0.001369
31,2,LANGKAP-PASIR,lkp_19_X948_Y904,pasir_05_X778_Y210,,,,10,12,,,,120,    0.016430
32,2,LANGKAP-PASIR,lkp_19_X948_Y904,pasir_03_X784_Y203,,,,10,13,,,,10,    0.001369
33,2,LANGKAP-PASIR,lkp_19_X948_Y904,pasir_06_X782_Y206,,,,10,14,,,,17,    0.002328
34,2,LANGKAP-PASIR,lkp_04_X1086_Y902,pasir_05_X778_Y210,,,,11,12,,,,1323,    0.181137
35,2,LANGKAP-PASIR,lkp_04_X1086_Y902,pasir_03_X784_Y203,,,,11,13,,,,515,    0.070510
36,2,LANGKAP-PASIR,lkp_04_X1086_Y902,pasir_06_X782_Y206,,,,11,14,,,,144,    0.019716
37,2,LANGKAP-RUMPUT,lkp_16_X967_Y911,,rumput_10_X789_Y532,,,0,,15,,,10,    0.001369
38,2,LANGKAP-RUMPUT,lkp_16_X967_Y911,,rumput_09_X789_Y538,,,0,,16,,,70,    0.009584
39,2,LANGKAP-RUMPUT,lkp_16_X967_Y911,,rumput_07_X786_Y556,,,0,,17,,,769,    0.105287
40,2,LANGKAP-RUMPUT,lkp_10_X988_Y898,,rumput_10_X789_Y532,,,1,,15,,,6,    0.000821
41,2,LANGKAP-RUMPUT,lkp_10_X988_Y898,,rumput_09_X789_Y538,,,1,,16,,,21,    0.002875
42,2,LANGKAP-RUMPUT,lkp_10_X988_Y898,,rumput_07_X786_Y556,,,1,,17,,,84,    0.011501
43,2,LANGKAP-RUMPUT,lkp_21_X947_Y915,,rumput_10_X789_Y532,,,2,,15,,,46,    0.006298
44,2,LANGKAP-RUMPUT,lkp_21_X947_Y915,,rumput_09_X789_Y538,,,2,,16,,,31,    0.004244
45,2,LANGKAP-RUMPUT,lkp_21_X947_Y915,,rumput_07_X786_Y556,,,2,,17,,,28,    0.003834
46,2,LANGKAP-RUMPUT,lkp_07_X1006_Y894,,rumput_10_X789_Y532,,,3,,15,,,12,    0.001643
47,2,LANGKAP-RUMPUT,lkp_07_X1006_Y894,,rumput_09_X789_Y538,,,3,,16,,,93,    0.012733
48,2,LANGKAP-RUMPUT,lkp_07_X1006_Y894,,rumput_07_X786_Y556,,,3,,17,,,334,    0.045729
49,2,LANGKAP-RUMPUT,lkp_11_X983_Y900,,rumput_10_X789_Y532,,,4,,15,,,466,    0.063802
50,2,LANGKAP-RUMPUT,lkp_11_X983_Y900,,rumput_09_X789_Y538,,,4,,16,,,568,    0.077767
51,2,LANGKAP-RUMPUT,lkp_11_X983_Y900,,rumput_07_X786_Y556,,,4,,17,,,136,    0.018620
52,2,LANGKAP-RUMPUT,lkp_08_X1003_Y894,,rumput_10_X789_Y532,,,5,,15,,,16,    0.002191
53,2,LANGKAP-RUMPUT,lkp_08_X1003_Y894,,rumput_09_X789_Y538,,,5,,16,,,204,    0.027930
54,2,LANGKAP-RUMPUT,lkp_08_X1003_Y894,,rumput_07_X786_Y556,,,5,,17,,,293,    0.040116
55,2,LANGKAP-RUMPUT,lkp_20_X948_Y906,,rumput_10_X789_Y532,,,6,,15,,,389,    0.053259
56,2,LANGKAP-RUMPUT,lkp_20_X948_Y906,,rumput_09_X789_Y538,,,6,,16,,,2392,    0.327497
57,2,LANGKAP-RUMPUT,lkp_20_X948_Y906,,rumput_07_X786_Y556,,,6,,17,,,2302,    0.315175
58,2,LANGKAP-RUMPUT,lkp_14_X974_Y904,,rumput_10_X789_Y532,,,7,,15,,,309,    0.042306
59,2,LANGKAP-RUMPUT,lkp_14_X974_Y904,,rumput_09_X789_Y538,,,7,,16,,,62,    0.008489
60,2,LANGKAP-RUMPUT,lkp_14_X974_Y904,,rumput_07_X786_Y556,,,7,,17,,,64,    0.008762
61,2,LANGKAP-RUMPUT,lkp_02_X1097_Y909,,rumput_10_X789_Y532,,,8,,15,,,21,    0.002875
62,2,LANGKAP-RUMPUT,lkp_02_X1097_Y909,,rumput_09_X789_Y538,,,8,,16,,,20,    0.002738
63,2,LANGKAP-RUMPUT,lkp_02_X1097_Y909,,rumput_07_X786_Y556,,,8,,17,,,11,    0.001506
64,2,LANGKAP-RUMPUT,lkp_12_X980_Y900,,rumput_10_X789_Y532,,,9,,15,,,68,    0.009310
65,2,LANGKAP-RUMPUT,lkp_12_X980_Y900,,rumput_09_X789_Y538,,,9,,16,,,213,    0.029163
66,2,LANGKAP-RUMPUT,lkp_12_X980_Y900,,rumput_07_X786_Y556,,,9,,17,,,13,    0.001780
67,2,LANGKAP-RUMPUT,lkp_19_X948_Y904,,rumput_10_X789_Y532,,,10,,15,,,890,    0.121853
68,2,LANGKAP-RUMPUT,lkp_19_X948_Y904,,rumput_09_X789_Y538,,,10,,16,,,366,    0.050110
69,2,LANGKAP-RUMPUT,lkp_19_X948_Y904,,rumput_07_X786_Y556,,,10,,17,,,27,    0.003697
70,2,LANGKAP-RUMPUT,lkp_04_X1086_Y902,,rumput_10_X789_Y532,,,11,,15,,,695,    0.095155
71,2,LANGKAP-RUMPUT,lkp_04_X1086_Y902,,rumput_09_X789_Y538,,,11,,16,,,744,    0.101864
72,2,LANGKAP-RUMPUT,lkp_04_X1086_Y902,,rumput_07_X786_Y556,,,11,,17,,,41,    0.005613
73,2,LANGKAP-VEGETASI BASAH,lkp_16_X967_Y911,,,vbasah_10_X865_Y433,,0,,,18,,21,    0.002875
74,2,LANGKAP-VEGETASI BASAH,lkp_16_X967_Y911,,,vbasah_11_X861_Y437,,0,,,19,,117,    0.016019
75,2,LANGKAP-VEGETASI BASAH,lkp_16_X967_Y911,,,vbasah_05_X1032_Y826,,0,,,20,,28,    0.003834
76,2,LANGKAP-VEGETASI BASAH,lkp_16_X967_Y911,,,vbasah_14_X791_Y303,,0,,,21,,13,    0.001780
77,2,LANGKAP-VEGETASI BASAH,lkp_16_X967_Y911,,,vbasah_03_X1106_Y868,,0,,,22,,1,    0.000137
78,2,LANGKAP-VEGETASI BASAH,lkp_16_X967_Y911,,,vbasah_07_X1016_Y809,,0,,,23,,8,    0.001095
79,2,LANGKAP-VEGETASI BASAH,lkp_16_X967_Y911,,,vbasah_02_X1064_Y859,,0,,,24,,7,    0.000958
80,2,LANGKAP-VEGETASI BASAH,lkp_16_X967_Y911,,,vbasah_13_X798_Y295,,0,,,25,,5,    0.000685
81,2,LANGKAP-VEGETASI BASAH,lkp_16_X967_Y911,,,vbasah_08_X1021_Y786,,0,,,26,,1,    0.000137
82,2,LANGKAP-VEGETASI BASAH,lkp_10_X988_Y898,,,vbasah_10_X865_Y433,,1,,,18,,8,    0.001095
83,2,LANGKAP-VEGETASI BASAH,lkp_10_X988_Y898,,,vbasah_11_X861_Y437,,1,,,19,,16,    0.002191
84,2,LANGKAP-VEGETASI BASAH,lkp_10_X988_Y898,,,vbasah_05_X1032_Y826,,1,,,20,,10,    0.001369
85,2,LANGKAP-VEGETASI BASAH,lkp_10_X988_Y898,,,vbasah_14_X791_Y303,,1,,,21,,3,    0.000411
86,2,LANGKAP-VEGETASI BASAH,lkp_10_X988_Y898,,,vbasah_03_X1106_Y868,,1,,,22,,1,    0.000137
87,2,LANGKAP-VEGETASI BASAH,lkp_10_X988_Y898,,,vbasah_07_X1016_Y809,,1,,,23,,1,    0.000137
88,2,LANGKAP-VEGETASI BASAH,lkp_10_X988_Y898,,,vbasah_02_X1064_Y859,,1,,,24,,2,    0.000274
89,2,LANGKAP-VEGETASI BASAH,lkp_10_X988_Y898,,,vbasah_13_X798_Y295,,1,,,25,,1,    0.000137
90,2,LANGKAP-VEGETASI BASAH,lkp_10_X988_Y898,,,vbasah_08_X1021_Y786,,1,,,26,,3,    0.000411
91,2,LANGKAP-VEGETASI BASAH,lkp_21_X947_Y915,,,vbasah_10_X865_Y433,,2,,,18,,27,    0.003697
92,2,LANGKAP-VEGETASI BASAH,lkp_21_X947_Y915,,,vbasah_11_X861_Y437,,2,,,19,,64,    0.008762
93,2,LANGKAP-VEGETASI BASAH,lkp_21_X947_Y915,,,vbasah_05_X1032_Y826,,2,,,20,,19,    0.002601
94,2,LANGKAP-VEGETASI BASAH,lkp_21_X947_Y915,,,vbasah_14_X791_Y303,,2,,,21,,17,    0.002328
95,2,LANGKAP-VEGETASI BASAH,lkp_21_X947_Y915,,,vbasah_03_X1106_Y868,,2,,,22,,2,    0.000274
96,2,LANGKAP-VEGETASI BASAH,lkp_21_X947_Y915,,,vbasah_07_X1016_Y809,,2,,,23,,1,    0.000137
97,2,LANGKAP-VEGETASI BASAH,lkp_21_X947_Y915,,,vbasah_02_X1064_Y859,,2,,,24,,6,    0.000821
98,2,LANGKAP-VEGETASI BASAH,lkp_21_X947_Y915,,,vbasah_13_X798_Y295,,2,,,25,,20,    0.002738
99,2,LANGKAP-VEGETASI BASAH,lkp_21_X947_Y915,,,vbasah_08_X1021_Y786,,2,,,26,,0,0
100,2,LANGKAP-VEGETASI BASAH,lkp_07_X1006_Y894,,,vbasah_10_X865_Y433,,3,,,18,,26,    0.003560
101,2,LANGKAP-VEGETASI BASAH,lkp_07_X1006_Y894,,,vbasah_11_X861_Y437,,3,,,19,,35,    0.004792
102,2,LANGKAP-VEGETASI BASAH,lkp_07_X1006_Y894,,,vbasah_05_X1032_Y826,,3,,,20,,2,    0.000274
103,2,LANGKAP-VEGETASI BASAH,lkp_07_X1006_Y894,,,vbasah_14_X791_Y303,,3,,,21,,37,    0.005066
104,2,LANGKAP-VEGETASI BASAH,lkp_07_X1006_Y894,,,vbasah_03_X1106_Y868,,3,,,22,,6,    0.000821
105,2,LANGKAP-VEGETASI BASAH,lkp_07_X1006_Y894,,,vbasah_07_X1016_Y809,,3,,,23,,1,    0.000137
106,2,LANGKAP-VEGETASI BASAH,lkp_07_X1006_Y894,,,vbasah_02_X1064_Y859,,3,,,24,,8,    0.001095
107,2,LANGKAP-VEGETASI BASAH,lkp_07_X1006_Y894,,,vbasah_13_X798_Y295,,3,,,25,,8,    0.001095
108,2,LANGKAP-VEGETASI BASAH,lkp_07_X1006_Y894,,,vbasah_08_X1021_Y786,,3,,,26,,3,    0.000411
109,2,LANGKAP-VEGETASI BASAH,lkp_11_X983_Y900,,,vbasah_10_X865_Y433,,4,,,18,,15,    0.002054
110,2,LANGKAP-VEGETASI BASAH,lkp_11_X983_Y900,,,vbasah_11_X861_Y437,,4,,,19,,47,    0.006435
111,2,LANGKAP-VEGETASI BASAH,lkp_11_X983_Y900,,,vbasah_05_X1032_Y826,,4,,,20,,43,    0.005887
112,2,LANGKAP-VEGETASI BASAH,lkp_11_X983_Y900,,,vbasah_14_X791_Y303,,4,,,21,,85,    0.011638
113,2,LANGKAP-VEGETASI BASAH,lkp_11_X983_Y900,,,vbasah_03_X1106_Y868,,4,,,22,,5,    0.000685
114,2,LANGKAP-VEGETASI BASAH,lkp_11_X983_Y900,,,vbasah_07_X1016_Y809,,4,,,23,,15,    0.002054
115,2,LANGKAP-VEGETASI BASAH,lkp_11_X983_Y900,,,vbasah_02_X1064_Y859,,4,,,24,,12,    0.001643
116,2,LANGKAP-VEGETASI BASAH,lkp_11_X983_Y900,,,vbasah_13_X798_Y295,,4,,,25,,9,    0.001232
117,2,LANGKAP-VEGETASI BASAH,lkp_11_X983_Y900,,,vbasah_08_X1021_Y786,,4,,,26,,8,    0.001095
118,2,LANGKAP-VEGETASI BASAH,lkp_08_X1003_Y894,,,vbasah_10_X865_Y433,,5,,,18,,14,    0.001917
119,2,LANGKAP-VEGETASI BASAH,lkp_08_X1003_Y894,,,vbasah_11_X861_Y437,,5,,,19,,34,    0.004655
120,2,LANGKAP-VEGETASI BASAH,lkp_08_X1003_Y894,,,vbasah_05_X1032_Y826,,5,,,20,,79,    0.010816
121,2,LANGKAP-VEGETASI BASAH,lkp_08_X1003_Y894,,,vbasah_14_X791_Y303,,5,,,21,,78,    0.010679
122,2,LANGKAP-VEGETASI BASAH,lkp_08_X1003_Y894,,,vbasah_03_X1106_Y868,,5,,,22,,4,    0.000548
123,2,LANGKAP-VEGETASI BASAH,lkp_08_X1003_Y894,,,vbasah_07_X1016_Y809,,5,,,23,,30,    0.004107
124,2,LANGKAP-VEGETASI BASAH,lkp_08_X1003_Y894,,,vbasah_02_X1064_Y859,,5,,,24,,34,    0.004655
125,2,LANGKAP-VEGETASI BASAH,lkp_08_X1003_Y894,,,vbasah_13_X798_Y295,,5,,,25,,4,    0.000548
126,2,LANGKAP-VEGETASI BASAH,lkp_08_X1003_Y894,,,vbasah_08_X1021_Y786,,5,,,26,,6,    0.000821
127,2,LANGKAP-VEGETASI BASAH,lkp_20_X948_Y906,,,vbasah_10_X865_Y433,,6,,,18,,147,    0.020126
128,2,LANGKAP-VEGETASI BASAH,lkp_20_X948_Y906,,,vbasah_11_X861_Y437,,6,,,19,,454,    0.062159
129,2,LANGKAP-VEGETASI BASAH,lkp_20_X948_Y906,,,vbasah_05_X1032_Y826,,6,,,20,,65,    0.008899
130,2,LANGKAP-VEGETASI BASAH,lkp_20_X948_Y906,,,vbasah_14_X791_Y303,,6,,,21,,152,    0.020811
131,2,LANGKAP-VEGETASI BASAH,lkp_20_X948_Y906,,,vbasah_03_X1106_Y868,,6,,,22,,24,    0.003286
132,2,LANGKAP-VEGETASI BASAH,lkp_20_X948_Y906,,,vbasah_07_X1016_Y809,,6,,,23,,32,    0.004381
133,2,LANGKAP-VEGETASI BASAH,lkp_20_X948_Y906,,,vbasah_02_X1064_Y859,,6,,,24,,30,    0.004107
134,2,LANGKAP-VEGETASI BASAH,lkp_20_X948_Y906,,,vbasah_13_X798_Y295,,6,,,25,,63,    0.008626
135,2,LANGKAP-VEGETASI BASAH,lkp_20_X948_Y906,,,vbasah_08_X1021_Y786,,6,,,26,,2,    0.000274
136,2,LANGKAP-VEGETASI BASAH,lkp_14_X974_Y904,,,vbasah_10_X865_Y433,,7,,,18,,16,    0.002191
137,2,LANGKAP-VEGETASI BASAH,lkp_14_X974_Y904,,,vbasah_11_X861_Y437,,7,,,19,,15,    0.002054
138,2,LANGKAP-VEGETASI BASAH,lkp_14_X974_Y904,,,vbasah_05_X1032_Y826,,7,,,20,,26,    0.003560
139,2,LANGKAP-VEGETASI BASAH,lkp_14_X974_Y904,,,vbasah_14_X791_Y303,,7,,,21,,7,    0.000958
140,2,LANGKAP-VEGETASI BASAH,lkp_14_X974_Y904,,,vbasah_03_X1106_Y868,,7,,,22,,7,    0.000958
141,2,LANGKAP-VEGETASI BASAH,lkp_14_X974_Y904,,,vbasah_07_X1016_Y809,,7,,,23,,3,    0.000411
142,2,LANGKAP-VEGETASI BASAH,lkp_14_X974_Y904,,,vbasah_02_X1064_Y859,,7,,,24,,16,    0.002191
143,2,LANGKAP-VEGETASI BASAH,lkp_14_X974_Y904,,,vbasah_13_X798_Y295,,7,,,25,,4,    0.000548
144,2,LANGKAP-VEGETASI BASAH,lkp_14_X974_Y904,,,vbasah_08_X1021_Y786,,7,,,26,,3,    0.000411
145,2,LANGKAP-VEGETASI BASAH,lkp_02_X1097_Y909,,,vbasah_10_X865_Y433,,8,,,18,,10,    0.001369
146,2,LANGKAP-VEGETASI BASAH,lkp_02_X1097_Y909,,,vbasah_11_X861_Y437,,8,,,19,,26,    0.003560
147,2,LANGKAP-VEGETASI BASAH,lkp_02_X1097_Y909,,,vbasah_05_X1032_Y826,,8,,,20,,25,    0.003423
148,2,LANGKAP-VEGETASI BASAH,lkp_02_X1097_Y909,,,vbasah_14_X791_Y303,,8,,,21,,3,    0.000411
149,2,LANGKAP-VEGETASI BASAH,lkp_02_X1097_Y909,,,vbasah_03_X1106_Y868,,8,,,22,,6,    0.000821
150,2,LANGKAP-VEGETASI BASAH,lkp_02_X1097_Y909,,,vbasah_07_X1016_Y809,,8,,,23,,2,    0.000274
151,2,LANGKAP-VEGETASI BASAH,lkp_02_X1097_Y909,,,vbasah_02_X1064_Y859,,8,,,24,,5,    0.000685
152,2,LANGKAP-VEGETASI BASAH,lkp_02_X1097_Y909,,,vbasah_13_X798_Y295,,8,,,25,,3,    0.000411
153,2,LANGKAP-VEGETASI BASAH,lkp_02_X1097_Y909,,,vbasah_08_X1021_Y786,,8,,,26,,7,    0.000958
154,2,LANGKAP-VEGETASI BASAH,lkp_12_X980_Y900,,,vbasah_10_X865_Y433,,9,,,18,,9,    0.001232
155,2,LANGKAP-VEGETASI BASAH,lkp_12_X980_Y900,,,vbasah_11_X861_Y437,,9,,,19,,22,    0.003012
156,2,LANGKAP-VEGETASI BASAH,lkp_12_X980_Y900,,,vbasah_05_X1032_Y826,,9,,,20,,131,    0.017936
157,2,LANGKAP-VEGETASI BASAH,lkp_12_X980_Y900,,,vbasah_14_X791_Y303,,9,,,21,,5,    0.000685
158,2,LANGKAP-VEGETASI BASAH,lkp_12_X980_Y900,,,vbasah_03_X1106_Y868,,9,,,22,,7,    0.000958
159,2,LANGKAP-VEGETASI BASAH,lkp_12_X980_Y900,,,vbasah_07_X1016_Y809,,9,,,23,,4,    0.000548
160,2,LANGKAP-VEGETASI BASAH,lkp_12_X980_Y900,,,vbasah_02_X1064_Y859,,9,,,24,,1,    0.000137
161,2,LANGKAP-VEGETASI BASAH,lkp_12_X980_Y900,,,vbasah_13_X798_Y295,,9,,,25,,1,    0.000137
162,2,LANGKAP-VEGETASI BASAH,lkp_12_X980_Y900,,,vbasah_08_X1021_Y786,,9,,,26,,3,    0.000411
163,2,LANGKAP-VEGETASI BASAH,lkp_19_X948_Y904,,,vbasah_10_X865_Y433,,10,,,18,,12,    0.001643
164,2,LANGKAP-VEGETASI BASAH,lkp_19_X948_Y904,,,vbasah_11_X861_Y437,,10,,,19,,28,    0.003834
165,2,LANGKAP-VEGETASI BASAH,lkp_19_X948_Y904,,,vbasah_05_X1032_Y826,,10,,,20,,24,    0.003286
166,2,LANGKAP-VEGETASI BASAH,lkp_19_X948_Y904,,,vbasah_14_X791_Y303,,10,,,21,,28,    0.003834
167,2,LANGKAP-VEGETASI BASAH,lkp_19_X948_Y904,,,vbasah_03_X1106_Y868,,10,,,22,,9,    0.001232
168,2,LANGKAP-VEGETASI BASAH,lkp_19_X948_Y904,,,vbasah_07_X1016_Y809,,10,,,23,,14,    0.001917
169,2,LANGKAP-VEGETASI BASAH,lkp_19_X948_Y904,,,vbasah_02_X1064_Y859,,10,,,24,,9,    0.001232
170,2,LANGKAP-VEGETASI BASAH,lkp_19_X948_Y904,,,vbasah_13_X798_Y295,,10,,,25,,39,    0.005340
171,2,LANGKAP-VEGETASI BASAH,lkp_19_X948_Y904,,,vbasah_08_X1021_Y786,,10,,,26,,0,0
172,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_10_X865_Y433,,11,,,18,,297,    0.040663
173,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_11_X861_Y437,,11,,,19,,355,    0.048604
174,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_05_X1032_Y826,,11,,,20,,68,    0.009310
175,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_14_X791_Y303,,11,,,21,,119,    0.016293
176,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_03_X1106_Y868,,11,,,22,,5,    0.000685
177,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_07_X1016_Y809,,11,,,23,,23,    0.003149
178,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_02_X1064_Y859,,11,,,24,,23,    0.003149
179,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_13_X798_Y295,,11,,,25,,225,    0.030806
180,2,LANGKAP-VEGETASI BASAH,lkp_04_X1086_Y902,,,vbasah_08_X1021_Y786,,11,,,26,,6,    0.000821
181,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_22a_X1096_Y917,0,,,,27,86,    0.011775
182,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_13_X948_Y913,0,,,,28,19,    0.002601
183,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_14_a_X993_Y897,0,,,,29,0,0
184,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_12_X946_Y900,0,,,,30,177,    0.024234
185,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_02_X1085_Y889,0,,,,31,10,    0.001369
186,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_8_X944_Y890,0,,,,32,192,    0.026287
187,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_00_X1096_Y912,0,,,,33,55,    0.007530
188,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_10_X945_Y895,0,,,,34,24,    0.003286
189,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_06_X1029_Y894,0,,,,35,2,    0.000274
190,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_16_X1039_Y896,0,,,,36,33,    0.004518
191,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_17_X1045_Y897,0,,,,37,6,    0.000821
192,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_04_X1085_Y906,0,,,,38,54,    0.007393
193,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_07_X1010_Y894,0,,,,39,29,    0.003970
194,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_19_X1066_Y906,0,,,,40,60,    0.008215
195,2,LANGKAP-VEGETASI LAIN,lkp_16_X967_Y911,,,,vlain_14_X878_Y839,0,,,,41,245,    0.033544
196,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_22a_X1096_Y917,1,,,,27,30,    0.004107
197,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_13_X948_Y913,1,,,,28,3,    0.000411
198,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_14_a_X993_Y897,1,,,,29,0,0
199,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_12_X946_Y900,1,,,,30,27,    0.003697
200,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_02_X1085_Y889,1,,,,31,5,    0.000685
201,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_8_X944_Y890,1,,,,32,6,    0.000821
202,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_00_X1096_Y912,1,,,,33,44,    0.006024
203,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_10_X945_Y895,1,,,,34,2,    0.000274
204,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_06_X1029_Y894,1,,,,35,2,    0.000274
205,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_16_X1039_Y896,1,,,,36,1,    0.000137
206,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_17_X1045_Y897,1,,,,37,2,    0.000274
207,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_04_X1085_Y906,1,,,,38,5,    0.000685
208,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_07_X1010_Y894,1,,,,39,2,    0.000274
209,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_19_X1066_Y906,1,,,,40,11,    0.001506
210,2,LANGKAP-VEGETASI LAIN,lkp_10_X988_Y898,,,,vlain_14_X878_Y839,1,,,,41,25,    0.003423
211,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_22a_X1096_Y917,2,,,,27,44,    0.006024
212,2,LANGKAP-VEGETASI LAIN,lkp_21_X947_Y915,,,,vlain_13_X948_Y913,2,,,,28,5,    0.000685
